chr2	128095009	128095009
chr2	128361531	128361531
chr2	128439707	128439707
chr2	128696197	128696197
chr2	128696204	128696204
chr2	128772210	128772210
chr2	129003119	129003119
chr1	154094705	154094705
chr1	154154501	154154501
chr1	154218639	154218639
chr1	154239334	154239334
chr6	79326264	79326264
chr6	79336051	79336051
chr6	79341271	79341271
chr6	79345961	79345961
chr6	79414236	79414236
chr6	79452186	79452186
chr6	79474715	79474715
chr6	79497645	79497645
chr6	79497859	79497859
chr6	79550618	79550618
chr6	79568040	79568040
chr6	79576696	79576696
chr6	79585223	79585223
chr6	79597503	79597503
chr6	79598851	79598851
chr6	79640681	79640681
chr6	79643165	79643165
chr6	79654685	79654685
chr6	79678448	79678448
chr6	79682697	79682697
chr6	79689968	79689968
chr6	79694135	79694135
chr6	79696665	79696665
chr6	79698811	79698811
chr6	79718301	79718301
chr6	79720222	79720222
chr6	79749166	79749166
chr6	79769341	79769341
chr6	79803373	79803373
chr6	79830866	79830866
chr19	44289910	44289910
chr19	44289994	44289994
chr19	44290442	44290442
chr19	44292247	44292247
chr19	44292269	44292269
chr19	44295719	44295719
chr19	44307762	44307762
chr19	44307859	44307859
chr19	44345021	44345021
chr19	44347104	44347104
chr19	44348433	44348433
chr19	44375951	44375951
chr19	44394725	44394725
chr19	44398536	44398536
chr19	44411884	44411884
chr19	44426463	44426463
chr19	44426467	44426467
chr19	44429043	44429043
chr19	44435704	44435704
chr19	44485046	44485046
chr19	44489690	44489690
chr19	44489691	44489691
chr19	44489692	44489692
chr2	203655123	203655123
chr2	203686234	203686234
chr2	203728983	203728983
chr2	203736202	203736202
chr2	203741992	203741992
chr2	203743439	203743439
chr2	203761156	203761156
chr2	203798365	203798365
chr2	203806437	203806437
chr2	203814209	203814209
chr2	203825427	203825427
chr2	203851338	203851338
chr2	203861347	203861347
chr2	204057687	204057687
chr2	204062727	204062727
chr2	204127320	204127320
chr2	204219428	204219428
chr1	170230299	170230299
chr1	170275762	170275762
chr16	8901344	8901344
chr16	8909432	8909432
chr16	8950495	8950495
chr16	8953824	8953824
chr16	8954912	8954912
